first_name;last_name;number;street;birthdate;postalcode;city;phone
RAFAEL;ABNEY;48;"Maracabo Place";01.04.1980;1570;Talavera;82671830126
NATHANIEL;ADAM;786;"Matsue Way";01.04.1980;37469;Joliet;111177206479
KATHLEEN;ADAMS;334;"Munger (Monghyr) Lane";01.04.1980;38145;Arak;481183273622
DIANA;ALEXANDER;1308;"Arecibo Way";01.04.1980;30695;"Augusta-Richmond County";6171054059
GORDON;ALLARD;434;"Ourense (Orense) Manor";01.04.1980;14122;Hodeida;562370137426
SHIRLEY;ALLEN;217;"Botshabelo Place";01.04.1980;49521;Davao;665356572025
CHARLENE;ALVAREZ;1842;"Luzinia Boulevard";01.04.1980;94420;Zanzibar;706878974831
LISA;ANDERSON;1542;"Tarlac Parkway";01.04.1980;1027;Sagamihara;635297277345
JOSE;ANDREW;1016;"Iwakuni Street";01.04.1980;49833;Kingstown;961370847344
IDA;ANDREWS;1839;"Szkesfehrvr Parkway";01.04.1980;55709;Luzinia;947468818183
OSCAR;AQUINO;956;"Nam Dinh Manor";01.04.1980;21872;Sirjan;474047727727
HARRY;ARCE;1922;"Miraj Way";01.04.1980;13203;Najafabad;320471479776
JORDAN;ARCHULETA;1229;"Varanasi (Benares) Manor";01.04.1980;40195;Avellaneda;817740355461
MELANIE;ARMSTRONG;1166;"Changhwa Street";01.04.1980;58852;Bayugan;650752094490
BEATRICE;ARNOLD;1877;"Ezhou Lane";01.04.1980;63337;Udaipur;264541743403
KENT;ARSENAULT;32;"Liaocheng Way";01.04.1980;1944;"Juiz de Fora";410877354933
CARL;ARTIS;1628;"Nagareyama Lane";01.04.1980;60079;"San Lorenzo";20064292617
DARRYL;ASHCRAFT;166;"Jinchang Street";01.04.1980;86760;Ezeiza;717566026669
TYRONE;ASHER;191;"Jos Azueta Parkway";01.04.1980;13629;Ruse;932156667696
ALMA;AUSTIN;1074;"Binzhou Manor";01.04.1980;36490;Mannheim;331132568928
MILDRED;BAILEY;81;"Hodeida Way";01.04.1980;55561;Jaipur;250767749542
PAMELA;BAKER;1440;"Fukuyama Loop";01.04.1980;47929;Nanyang;912257250465
MARTIN;BALES;368;"Hunuco Boulevard";01.04.1980;17165;Namibe;106439158941
EVERETT;BANDA;1741;"Hoshiarpur Boulevard";01.04.1980;22372;Bilbays;855066328617
JESSIE;BANKS;1229;"Valencia Parkway";01.04.1980;99124;"Stara Zagora";352679173732
CLAYTON;BARBEE;1407;"Pachuca de Soto Place";01.04.1980;26284;Alvorada;380077794770
ANGEL;BARCLAY;496;"Celaya Drive";01.04.1980;90797;Ueda;759586584889
NICHOLAS;BARFIELD;1163;"London Parkway";01.04.1980;6066;Belm;675120358494
VICTOR;BARKLEY;401;"Sucre Boulevard";01.04.1980;25007;Manchester;486395999608
RACHEL;BARNES;586;"Tete Way";01.04.1980;1079;Kamakura;18581624103
CAROLE;BARNETT;1980;"Kamjanets-Podilskyi Street";01.04.1980;89502;Peoria;874337098891
TRACEY;BARRETT;1006;"Santa Brbara dOeste Manor";01.04.1980;36229;Owo;85059738746
DAISY;BATES;661;"Chisinau Lane";01.04.1980;8856;Kolpino;816436065431
EDWARD;BAUGH;1359;"Zhoushan Parkway";01.04.1980;29763;Trshavn;46568045367
ROBERT;BAUGHMAN;1883;"Maikop Lane";01.04.1980;68469;Kaliningrad;96110042435
JEAN;BELL;1114;"Liepaja Street";01.04.1980;69226;Kuching;212869228936
CHESTER;BENNER;1574;"Goinia Boulevard";01.04.1980;39529;Suihua;59634255214
JANE;BENNETT;1692;"Ede Loop";01.04.1980;9223;Araatuba;918711376618
REGINA;BERRY;475;"Atinsk Way";01.04.1980;59571;Jinchang;201705577290
CHARLIE;BESS;362;"Rajkot Lane";01.04.1980;98030;Baiyin;962020153680
MIGUEL;BETANCOURT;319;"Springs Loop";01.04.1980;99552;Erlangen;72524459905
HENRY;BILLINGSLEY;1516;"Escobar Drive";01.04.1980;46069;Nukualofa;64536069371
AGNES;BISHOP;866;"Shivapuri Manor";01.04.1980;22474;Sambhal;778502731092
VALERIE;BLACK;782;"Mosul Street";01.04.1980;25545;Brockton;885899703621
DEREK;BLAKELY;118;"Jaffna Loop";01.04.1980;10447;Gingoog;325526730021
MATHEW;BOLIN;163;"Augusta-Richmond County Loop";01.04.1980;33030;Valencia;754579047924
DON;BONE;596;"Huixquilucan Place";01.04.1980;65892;Naala-Porto;342709348083
LEON;BOSTIC;734;"Tanshui Avenue";01.04.1980;70664;Florencia;366776723320
BOBBY;BOUDREAU;1368;"Maracabo Boulevard";01.04.1980;32716;"South Hill";934352415130
DERRICK;BOURQUE;1153;"Allende Way";01.04.1980;20336;Gatineau;856872225376
CLIFFORD;BOWENS;207;"Cuernavaca Loop";01.04.1980;52671;"Nabereznyje Telny";782900030287
CAROLINE;BOWMAN;1309;"Weifang Street";01.04.1980;57338;Tallahassee;435785045362
BYRON;BOX;521;"San Juan Bautista Tuxtepec Place";01.04.1980;95093;Zhezqazghan;844018348565
EMMA;BOYD;765;"Southampton Drive";01.04.1980;4285;Qalyub;23712411567
ANA;BRADLEY;682;"Garden Grove Place";01.04.1980;67497;Memphis;72136330362
TED;BREAUX;183;"Haiphong Street";01.04.1980;69953;Baicheng;488600270038
VICKIE;BREWER;1966;"Tonghae Street";01.04.1980;36481;Halle/Saale;567359279425
RUSSELL;BRINSON;1642;"Charlotte Amalie Drive";01.04.1980;75442;Tychy;821476736117
BEVERLY;BROOKS;1947;"Poos de Caldas Boulevard";01.04.1980;60951;Chiayi;427454485876
CHRIS;BROTHERS;331;"Bydgoszcz Parkway";01.04.1980;966;Gijn;537374465982
ELIZABETH;BROWN;53;"Idfu Parkway";01.04.1980;42399;Nantou;10655648674
GUY;BROWNLEE;346;"Cam Ranh Avenue";01.04.1980;39976;Zhoushan;978430786151
PAULA;BRYANT;1697;"Tanauan Lane";01.04.1980;22870;Pathankot;4764773857
CLINTON;BUFORD;43;"Vilnius Manor";01.04.1980;79814;Aurora;484500282381
WESLEY;BULL;1469;"Plock Lane";01.04.1980;95835;"Ourense (Orense)";622884741180
TIMOTHY;BUNN;981;"Kumbakonam Place";01.04.1980;87611;Braslia;829116184079
EDWIN;BURK;1766;"Almirante Brown Street";01.04.1980;63104;Newcastle;617567598243
LYDIA;BURKE;1483;"Pathankot Street";01.04.1980;37288;"San Miguel de Tucumn";686015532180
SIDNEY;BURLESON;1405;"Hagonoy Avenue";01.04.1980;86587;Czestochowa;867287719310
APRIL;BURNS;483;"Ljubertsy Parkway";01.04.1980;60562;Dundee;581174211853
COLLEEN;BURTON;430;"Alessandria Loop";01.04.1980;47446;Saarbrcken;669828224459
LEROY;BUSTAMANTE;105;"Dzerzinsk Manor";01.04.1980;48570;Tongliao;240776414296
LOIS;BUTLER;1370;"Le Mans Avenue";01.04.1980;52163;"Bandar Seri Begawan";345679835036
ALLEN;BUTTERFIELD;791;"Salinas Street";01.04.1980;40509;Hoshiarpur;129953030512
DEANNA;BYRD;862;"Xintai Lane";01.04.1980;30065;Tuguegarao;265153400632
DANIEL;CABRAL;543;"Bergamo Avenue";01.04.1980;59686;Ibirit;103602195112
KAY;CALDWELL;85;"San Felipe de Puerto Plata Drive";01.04.1980;46063;Yantai;170739645687
CATHERINE;CAMPBELL;46;"Pjatigorsk Lane";01.04.1980;23616;Moscow;262076994845
CHAD;CARBONE;1948;"Bayugan Parkway";01.04.1980;60622;Katihar;987306329957
TERRY;CARLSON;752;"Ondo Loop";01.04.1980;32474;Miyakonojo;134673576619
LORETTA;CARPENTER;891;"Novi Sad Manor";01.04.1980;5379;Oshawa;247646995453
EILEEN;CARR;1679;"Antofagasta Street";01.04.1980;86599;"Ciudad del Este";905903574913
TONY;CARRANZA;454;"Patiala Lane";01.04.1980;13496;Koriyama;794553031307
JUNE;CARROLL;757;"Rustenburg Avenue";01.04.1980;89668;Skikda;506134035434
AMANDA;CARTER;671;"Graz Street";01.04.1980;94399;Nador;680768868518
TIM;CARY;1257;"Guadalajara Street";01.04.1980;33599;Bijapur;195337700615
ALFRED;CASILLAS;1727;"Matamoros Place";01.04.1980;78813;Sawhaj;129673677866
GERTRUDE;CASTILLO;850;"Salala Loop";01.04.1980;10800;Nuuk;403404780639
JENNY;CASTRO;1405;"Chisinau Place";01.04.1980;8160;Ponce;62781725285
PHILIP;CAUSEY;954;"Lapu-Lapu Way";01.04.1980;8816;Korolev;737229003916
KRISTINA;CHAMBERS;544;"Tarsus Boulevard";01.04.1980;53145;"Valle de la Pascua";892523334
VERNON;CHAPA;698;"Jelets Boulevard";01.04.1980;2596;Denizli;975185523021
TONYA;CHAPMAN;43;"Dadu Avenue";01.04.1980;4855;Bhilwara;95666951770
KRISTEN;CHAVEZ;345;"Oshawa Boulevard";01.04.1980;32114;Hino;104491201771
MARIO;CHEATHAM;1924;"Shimonoseki Drive";01.04.1980;52625;Batna;406784385440
PEDRO;CHESTNUT;421;"Yaound Street";01.04.1980;11363;ostka;726875628268
JOHNNIE;CHISHOLM;1501;"Pangkal Pinang Avenue";01.04.1980;943;Plock;770864062795
RAMON;CHOATE;1954;"Kowloon and New Kowloon Way";01.04.1980;63667;Robamba;898559280434
NELSON;CHRISTENSON;1764;"Jalib al-Shuyukh Parkway";01.04.1980;77642;"Santiago de Compostela";84794532510
FERNANDO;CHURCHILL;193;"Bhusawal Place";01.04.1980;9750;Tonghae;745267607502
AUSTIN;CINTRON;1325;"Fukuyama Street";01.04.1980;27107;Tieli;288241215394
MICHELLE;CLARK;262;"A Corua (La Corua) Parkway";01.04.1980;34418;Tangail;892775750063
ADRIAN;CLARY;1986;"Sivas Place";01.04.1980;95775;Udine;182059202712
BERNARD;COLBY;495;"Bhimavaram Lane";01.04.1980;3;"Dhule (Dhulia)";82088937724
TRACY;COLE;1002;"Ahmadnagar Manor";01.04.1980;93026;Huixquilucan;371490777743
KATHRYN;COLEMAN;927;"Baha Blanca Parkway";01.04.1980;9495;Simferopol;821972242086
TOMMY;COLLAZO;76;"Kermanshah Manor";01.04.1980;23343;Qomsheh;762361821578
DIANE;COLLINS;115;"Hidalgo Parkway";01.04.1980;80168;Omdurman;307703950263
GLORIA;COOK;1668;"Saint Louis Place";01.04.1980;39072;Papeete;347487831378
JOAN;COOPER;1717;"Guadalajara Lane";01.04.1980;85505;"Saint Louis";914090181665
ALLAN;CORNISH;947;"Trshavn Place";01.04.1980;841;Tarlac;50898428626
BRETT;CORNWELL;1197;"Sokoto Boulevard";01.04.1980;87687;"Siliguri (Shiliguri)";868602816371
CARLOS;COUGHLIN;97;"Mogiljov Lane";01.04.1980;89294;Bhavnagar;924815207181
JUDITH;COX;1966;"Amroha Avenue";01.04.1980;70385;Daxian;333489324603
GARY;COY;867;"Benin City Avenue";01.04.1980;78543;Yuzhou;168884817145
BOBBIE;CRAIG;86;"Higashiosaka Lane";01.04.1980;33768;"Valle de Santiago";957128697225
ESTHER;CRAWFORD;898;"Belm Manor";01.04.1980;49757;Botshabelo;707169393853
MAURICE;CRAWLEY;1785;"So Bernardo do Campo Street";01.04.1980;71182;Coatzacoalcos;684529463244
IVAN;CROMWELL;1351;"Sousse Lane";01.04.1980;37815;Monclova;203804046132
ALBERT;CROUSE;1641;"Changhwa Place";01.04.1980;37636;Bamenda;256546485220
KIM;CRUZ;333;"Goinia Way";01.04.1980;78625;"Grand Prairie";909029256431
THEODORE;CULP;1704;"Tambaram Manor";01.04.1980;2834;Uluberia;39463554936
EUGENE;CULPEPPER;686;"Donostia-San Sebastin Lane";01.04.1980;97390;Shenzhen;71857599858
STACY;CUNNINGHAM;1410;"Benin City Parkway";01.04.1980;29747;Pereira;104150372603
STEVEN;CURLEY;651;"Pathankot Loop";01.04.1980;59811;Miraj;139378397418
NORMAN;CURRIER;1445;"Carmen Parkway";01.04.1980;70809;Cianjur;598912394463
LEAH;CURTIS;906;"Goinia Way";01.04.1980;83565;Kalisz;701767622697
