ELIZABETH;BROWN;53;"Idfu Parkway";01.04.1980;42399;Nantou;10655648674
JENNIFER;DAVIS;1795;"Santiago de Compostela Way";01.04.1980;18743;Laredo;860452626434
MARIA;MILLER;900;"Santiago de Compostela Parkway";01.04.1980;93896;Kragujevac;716571220373
SUSAN;WILSON;478;"Joliet Way";01.04.1980;77948;Hamilton;657282285970
MARGARET;MOORE;613;"Korolev Drive";01.04.1980;45844;Masqat;380657522649
DOROTHY;TAYLOR;1531;"Sal Drive";01.04.1980;53628;Esfahan;648856936185
LISA;ANDERSON;1542;"Tarlac Parkway";01.04.1980;1027;Sagamihara;635297277345
NANCY;THOMAS;808;"Bhopal Manor";01.04.1980;10672;"Yamuna Nagar";465887807014
KAREN;JACKSON;270;"Amroha Parkway";01.04.1980;29610;Osmaniye;695479687538
BETTY;WHITE;770;"Bydgoszcz Avenue";01.04.1980;16266;"Citrus Heights";517338314235
HELEN;HARRIS;419;"Iligan Lane";01.04.1980;72878;Bhopal;990911107354
SANDRA;MARTIN;360;"Toulouse Parkway";01.04.1980;54308;Southend-on-Sea;949312333307
DONNA;THOMPSON;270;"Toulon Boulevard";01.04.1980;81766;Elista;407752414682
CAROL;GARCIA;320;"Brest Avenue";01.04.1980;43331;Kaduna;747791594069
RUTH;MARTINEZ;1417;"Lancaster Avenue";01.04.1980;72192;Kimberley;272572357893
SHARON;ROBINSON;1688;"Okara Way";01.04.1980;21954;Mardan;144453869132
MICHELLE;CLARK;262;"A Corua (La Corua) Parkway";01.04.1980;34418;Tangail;892775750063
LAURA;RODRIGUEZ;28;"Charlotte Amalie Street";01.04.1980;37551;Sal;161968374323
SARAH;LEWIS;1780;"Hino Boulevard";01.04.1980;7716;Liepaja;902731229323
KIMBERLY;LEE;96;"Tafuna Way";01.04.1980;99865;Crdoba;934730187245
DEBORAH;WALKER;934;"San Felipe de Puerto Plata Street";01.04.1980;99780;Shikarpur;196495945706
JESSICA;HALL;18;"Duisburg Boulevard";01.04.1980;58327;"Citt del Vaticano";998009777982
SHIRLEY;ALLEN;217;"Botshabelo Place";01.04.1980;49521;Davao;665356572025
CYNTHIA;YOUNG;1425;"Shikarpur Manor";01.04.1980;65599;"Munger (Monghyr)";678220867005
ANGELA;HERNANDEZ;786;"Aurora Avenue";01.04.1980;65750;Shimonoseki;18461860151
MELISSA;KING;1668;"Anpolis Street";01.04.1980;50199;Lungtan;525255540978
BRENDA;WRIGHT;33;"Gorontalo Way";01.04.1980;30348;Kamarhati;745994947458
AMY;LOPEZ;176;"Mandaluyong Place";01.04.1980;65213;Jhansi;627705991774
ANNA;HILL;127;"Purnea (Purnia) Manor";01.04.1980;79388;Alessandria;911872220378
REBECCA;SCOTT;61;"Tama Street";01.04.1980;94065;Kurashiki;708403338270
VIRGINIA;GREEN;391;"Callao Drive";01.04.1980;34021;Toulouse;440512153169
KATHLEEN;ADAMS;334;"Munger (Monghyr) Lane";01.04.1980;38145;Arak;481183273622
PAMELA;BAKER;1440;"Fukuyama Loop";01.04.1980;47929;Nanyang;912257250465
MARTHA;GONZALEZ;269;"Cam Ranh Parkway";01.04.1980;34689;Chisinau;489783829737
DEBRA;NELSON;306;"Antofagasta Place";01.04.1980;3989;"Vila Velha";378318851631
AMANDA;CARTER;671;"Graz Street";01.04.1980;94399;Nador;680768868518
STEPHANIE;MITCHELL;42;"Brindisi Place";01.04.1980;16744;Yerevan;42384721397
